epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1887.03,0.97568,0.92776,1.24729,0.71777,0.5177,0.57587,0.3616,1.25828,1.1641,1.45151,0.00047035,0.00047035,0.00047035
109,1904.01,0.92177,0.84353,1.19449,0.6842,0.50306,0.557,0.35059,1.23868,1.19467,1.44267,0.0004654,0.0004654,0.0004654
110,1921,0.91739,0.85375,1.20388,0.65501,0.52994,0.5271,0.33319,1.23066,1.34535,1.42448,0.00046045,0.00046045,0.00046045
111,1938.13,0.92007,0.84172,1.19308,0.74495,0.50821,0.54764,0.35705,1.22653,1.26381,1.41566,0.0004555,0.0004555,0.0004555
112,1956.32,0.90274,0.82234,1.19401,0.70451,0.53735,0.57232,0.36183,1.24427,1.2297,1.46168,0.00045055,0.00045055,0.00045055
113,1974.63,0.89677,0.81353,1.18968,0.68849,0.48805,0.54174,0.34355,1.27747,1.22318,1.45542,0.0004456,0.0004456,0.0004456
114,1992.4,0.9086,0.81927,1.17152,0.74904,0.54456,0.58367,0.36301,1.26501,1.14057,1.4741,0.00044065,0.00044065,0.00044065
115,2014.35,0.89791,0.8009,1.17393,0.70779,0.55489,0.58425,0.35797,1.27279,1.18551,1.44573,0.0004357,0.0004357,0.0004357
116,2035.97,0.90777,0.82463,1.18569,0.74516,0.52896,0.58903,0.37613,1.24347,1.12606,1.44218,0.00043075,0.00043075,0.00043075
117,2057.45,0.89993,0.84835,1.21479,0.75909,0.4803,0.56879,0.3482,1.22094,1.18421,1.41385,0.0004258,0.0004258,0.0004258
118,2077.44,0.88659,0.8157,1.17498,0.65043,0.5566,0.56085,0.34464,1.28636,1.23985,1.45813,0.00042085,0.00042085,0.00042085
119,2099.12,0.90418,0.79906,1.18285,0.72964,0.53323,0.56228,0.36108,1.25128,1.19759,1.41993,0.0004159,0.0004159,0.0004159
120,2122.25,0.89763,0.81078,1.15967,0.73643,0.52417,0.56986,0.36034,1.24863,1.18702,1.40938,0.00041095,0.00041095,0.00041095
121,2146.88,0.90709,0.79123,1.19425,0.74621,0.5436,0.5894,0.36685,1.28004,1.17453,1.45083,0.000406,0.000406,0.000406
122,2171.38,0.85246,0.77877,1.1589,0.69553,0.53961,0.55215,0.34568,1.30636,1.18628,1.50125,0.00040105,0.00040105,0.00040105
123,2196.06,0.88934,0.79943,1.17644,0.66875,0.55542,0.58834,0.36954,1.25824,1.12993,1.4401,0.0003961,0.0003961,0.0003961
124,2222.5,0.87442,0.78791,1.17126,0.75712,0.49703,0.58248,0.35271,1.26656,1.16871,1.44731,0.00039115,0.00039115,0.00039115
125,2247.31,0.85506,0.77335,1.16105,0.79538,0.52481,0.59421,0.35975,1.23793,1.17568,1.43323,0.0003862,0.0003862,0.0003862
126,2272.59,0.87115,0.7916,1.15611,0.72144,0.54817,0.59137,0.37174,1.24128,1.10109,1.42763,0.00038125,0.00038125,0.00038125
127,2301.28,0.88031,0.79025,1.16216,0.7044,0.56335,0.57792,0.3607,1.23837,1.11313,1.42691,0.0003763,0.0003763,0.0003763
128,2328.43,0.83662,0.74473,1.14303,0.77168,0.56663,0.58862,0.37321,1.2247,1.14035,1.43352,0.00037135,0.00037135,0.00037135
129,2357.78,0.85924,0.75507,1.15389,0.8083,0.53503,0.59416,0.37566,1.22025,1.1261,1.41427,0.0003664,0.0003664,0.0003664
130,2381.84,0.88109,0.80385,1.18025,0.66627,0.56512,0.57835,0.35351,1.26374,1.15516,1.43747,0.00036145,0.00036145,0.00036145
131,2402.51,0.82741,0.77757,1.15138,0.74941,0.49774,0.56325,0.37318,1.20217,1.1394,1.38823,0.0003565,0.0003565,0.0003565
132,2423.96,0.8695,0.78992,1.16785,0.70378,0.52033,0.56915,0.35846,1.19528,1.10977,1.38609,0.00035155,0.00035155,0.00035155
133,2446.38,0.84226,0.75781,1.14386,0.70554,0.55619,0.56338,0.35549,1.22938,1.21838,1.44766,0.0003466,0.0003466,0.0003466
134,2468.74,0.85883,0.78089,1.16832,0.7498,0.52236,0.55767,0.3488,1.27924,1.18516,1.48846,0.00034165,0.00034165,0.00034165
135,2491.87,0.84318,0.75547,1.14196,0.68686,0.52878,0.55938,0.34137,1.25911,1.16727,1.45812,0.0003367,0.0003367,0.0003367
136,2513.35,0.85057,0.75264,1.15389,0.81969,0.48415,0.56283,0.36467,1.2419,1.11747,1.44833,0.00033175,0.00033175,0.00033175
137,2536.54,0.82567,0.75383,1.14239,0.72541,0.53515,0.57165,0.35866,1.28923,1.13435,1.49064,0.0003268,0.0003268,0.0003268
138,2555.09,0.84649,0.75818,1.14593,0.74169,0.52532,0.60089,0.37728,1.2524,1.17211,1.45943,0.00032185,0.00032185,0.00032185
139,2572.05,0.82687,0.75227,1.14949,0.76042,0.49148,0.56775,0.35817,1.23247,1.18124,1.43646,0.0003169,0.0003169,0.0003169
140,2590.69,0.80478,0.7242,1.14328,0.71614,0.56054,0.58725,0.38037,1.23798,1.1037,1.41887,0.00031195,0.00031195,0.00031195
141,2612.13,0.83433,0.74058,1.15129,0.69417,0.57896,0.60285,0.37923,1.23947,1.09647,1.4197,0.000307,0.000307,0.000307
142,2635.59,0.8259,0.74498,1.15136,0.75279,0.53881,0.58311,0.37722,1.23302,1.09464,1.41703,0.00030205,0.00030205,0.00030205
143,2656.79,0.83142,0.73823,1.14016,0.69941,0.55262,0.57504,0.36907,1.20551,1.17063,1.38818,0.0002971,0.0002971,0.0002971
144,2678.66,0.82836,0.74134,1.13849,0.71213,0.56986,0.59924,0.39669,1.18586,1.08262,1.3917,0.00029215,0.00029215,0.00029215
145,2700.21,0.82838,0.7345,1.14392,0.71226,0.54286,0.59558,0.38925,1.23503,1.12783,1.41112,0.0002872,0.0002872,0.0002872
146,2722.41,0.81973,0.73596,1.14849,0.77968,0.54252,0.59444,0.38432,1.26439,1.15108,1.41367,0.00028225,0.00028225,0.00028225
147,2743.86,0.7825,0.71047,1.13299,0.75705,0.56616,0.59861,0.38841,1.22968,1.12485,1.39525,0.0002773,0.0002773,0.0002773
148,2765.63,0.83837,0.7334,1.13953,0.74306,0.564,0.60885,0.38686,1.21447,1.1072,1.41292,0.00027235,0.00027235,0.00027235
149,2787.33,0.79707,0.69097,1.1179,0.68369,0.58145,0.59394,0.38501,1.21004,1.14946,1.38539,0.0002674,0.0002674,0.0002674
150,2808.17,0.82936,0.71834,1.13182,0.76879,0.52164,0.5755,0.38948,1.21079,1.13983,1.39539,0.00026245,0.00026245,0.00026245
151,2830.07,0.7986,0.70007,1.11779,0.73206,0.54591,0.58216,0.38945,1.22874,1.12917,1.42476,0.0002575,0.0002575,0.0002575
152,2852.83,0.80624,0.71004,1.12215,0.7602,0.53639,0.59151,0.39115,1.22642,1.0959,1.41835,0.00025255,0.00025255,0.00025255
153,2875.77,0.76357,0.67966,1.11139,0.80513,0.51276,0.59783,0.40379,1.20008,1.08596,1.40235,0.0002476,0.0002476,0.0002476
154,2906.11,0.77793,0.67092,1.11098,0.77427,0.53344,0.59627,0.4086,1.19997,1.07061,1.39436,0.00024265,0.00024265,0.00024265
155,2938.68,0.80322,0.70668,1.1323,0.77169,0.54963,0.58428,0.39308,1.19513,1.068,1.40405,0.0002377,0.0002377,0.0002377
156,2967.45,0.78481,0.70249,1.12435,0.66241,0.54053,0.54425,0.36736,1.23547,1.14808,1.42819,0.00023275,0.00023275,0.00023275
